"status","code","msg","response__c","response__h","response__l","response__ch","response__cp","response__t","response__s","response__cty","response__ccy","response__exch","response__id","response__tm","info__exchanges","info__sectors","info__server_time","info__credit_count","info___t"
"True","200","Successfully","2650.00","2675.90","2590.00","+60.95","2.35%","1611050388","ASPN","india","INR","BSE","63541","2021-01-19 09:59:48","BSE","Basic Materials","2021-01-19 10:40:10 UTC","17","2021-01-19 10:40:10 UTC"
"","","","670.05","671.90","660.05","+13.95","2.13%","1611050399","AXBK","india","INR","BSE","63542","2021-01-19 09:59:59","NSE","Financial","","",""
"","","","3636.35","3663.95","3564.75","+75.90","2.13%","1611050398","BAJA","india","INR","BSE","63543","2021-01-19 09:59:58","","Consumer Cyclical","","",""
"","","","4960.85","4994.00","4752.35","+247.25","5.25%","1611051000","BJFN","india","INR","BSE","63544","2021-01-19 10:10:00","","Services","","",""
"","","","591.80","597.40","586.70","+5.10","0.87%","1611050387","BRTI","india","INR","BSE","63545","2021-01-19 09:59:47","","Technology","","",""
"","","","987.45","996.80","980.00","+6.50","0.66%","1611050342","HCLT","india","INR","BSE","63546","2021-01-19 09:59:02","","Consumer/Non-Cyclical","","",""
"","","","1502.00","1511.00","1466.75","+18.80","1.27%","1611050399","HDBK","india","INR","BSE","63547","2021-01-19 09:59:59","","Capital Goods","","",""
"","","","3229.10","3239.40","3172.60","+65.10","2.06%","1611050379","HROM","india","INR","BSE","63548","2021-01-19 09:59:39","","Utilities","","",""
"","","","2363.65","2382.45","2323.40","+30.10","1.29%","1611050395","HLL","india","INR","BSE","63549","2021-01-19 09:59:55","","Energy","","",""
"","","","2649.80","2680.00","2575.75","+83.40","3.25%","1611050399","HDFC","india","INR","BSE","63550","2021-01-19 09:59:59","","Healthcare","","",""
"","","","547.40","547.95","534.00","+15.15","2.85%","1611050398","ICBK","india","INR","BSE","63551","2021-01-19 09:59:58","","Transportation","","",""
"","","","941.55","952.00","936.65","+10.60","1.14%","1611050390","INBK","india","INR","BSE","63552","2021-01-19 09:59:50","","","","",""
"","","","1319.40","1331.30","1312.80","+7.75","0.59%","1611050399","INFY","india","INR","BSE","63553","2021-01-19 09:59:59","","","","",""
"","","","219.15","221.60","217.65","-0.40","-0.18%","1611050388","ITC","india","INR","BSE","63554","2021-01-19 09:59:48","","","","",""
"","","","1888.00","1892.25","1845.00","+39.05","2.11%","1611050399","KTKM","india","INR","BSE","63555","2021-01-19 09:59:59","","","","",""
"","","","1370.00","1381.85","1336.00","+35.30","2.64%","1611050394","LART","india","INR","BSE","63556","2021-01-19 09:59:54","","","","",""
"","","","808.15","819.00","802.00","-0.05","-0.01%","1611051000","MAHM","india","INR","BSE","63557","2021-01-19 10:10:00","","","","",""
"","","","7900.00","7990.00","7835.25","+85.60","1.1%","1611050398","MRTI","india","INR","BSE","63558","2021-01-19 09:59:58","","","","",""
